,Hostel,Hostel_lat,Hostel_lon,Venue,Venue_lat,Venue_lon,Venue_cat
132,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Hôtel Novotel Paris Tour Eiffel,48.84966163567227,2.2836917638778687,Hotel
133,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Sephora,48.84882902361427,2.2824830646955383,Perfume Shop
134,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Bowling du Front de Seine,48.848975690070866,2.2847134741913675,Bowling Alley
135,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Hollister Co.,48.848168,2.282447,Clothing Store
136,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Food Breizh,48.849864284843,2.2849400971934113,Food Truck
137,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Maisons du Monde,48.84793517053617,2.28299674485595,Furniture / Home Store
138,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Starbucks,48.85105426342241,2.284350812234072,Coffee Shop
139,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Nike Store,48.848341,2.282238,Sporting Goods Shop
140,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,DARTY Beaugrenelle,48.84874745968938,2.2826780032610956,Electronics Store
141,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,La Pâtisserie des Rêves,48.84897328370644,2.2824981808662415,Pastry Shop
142,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Piscine René et André Mourlon,48.849001523973236,2.2849953174591064,Gym Pool
143,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Fnac Paris Beaugrenelle,48.84846495618048,2.2823023796081543,Department Store
144,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Panasia,48.848992642132636,2.2824442621243164,Asian Restaurant
145,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Indiana Café,48.848876,2.282523,Latin American Restaurant
146,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Bar La Seine,48.84997670925015,2.283051787523748,Bar
147,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Noura Beaugrenelle,48.848957730634204,2.2824245961659066,Lebanese Restaurant
148,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Adagio Paris Tour Eiffel,48.8499390183053,2.2853661497022197,Hotel
149,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,MyPop Cie,48.848986317413626,2.2824664193856363,Burger Joint
150,Hôtel Novotel Paris Tour Eiffel,48.849661635672284,2.2836917638778687,Defim,48.85031076495479,2.281987954761067,Harbor / Marina
151,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Shabestan - Mirabeau,48.84924796677718,2.275578950091935,Persian Restaurant
152,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Comice,48.849499256061385,2.2760850191116333,French Restaurant
153,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Le Récepteur,48.85123458078446,2.275076190646644,French Restaurant
154,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Le Gros 7,48.851258928776495,2.277470380067825,Italian Restaurant
155,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Genio,48.85115199100273,2.275015054622926,Italian Restaurant
156,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Chaumette,48.85123916148801,2.2773349285125732,French Restaurant
157,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Hotel
158,Hôtel Auteuil Tour Eiffel,48.850503340950965,2.2754287482427813,Firenze,48.85006064809008,2.2763467767888774,Italian Restaurant
