name,id,lat,lon,PostalCode,City,formattedAddress,type,ZipCodeTrue,Arr,nblike
Hôtel Chopin,4adcda03f964a520ee3121e3,48.87247634613622,2.3422048861532514,75009,Paris,"['10 boulevard Montmartre', '75009 Paris', 'France']",Hotel,75009,9,3
Hilton Paris Opéra,4c8c717c509e370491d63355,48.87557147635434,2.325579121816145,75008,Paris,"['108 rue Saint-Lazare', '75008 Paris', 'France']",Hotel,75008,8,141
Laz Hotel,5a2a8a7adee7706435666f20,48.878652877942045,2.327607813725251,75009,Paris,"['17 Rue de Milan', '75009 Paris', 'France']",Hotel,75009,9,11
Best Western Premier Opéra Faubourg,5310eee6498e3fd9c9aa6a59,48.87536850917283,2.3413993567146463,75009,Paris,"['49-51 rue La Fayette (Rue Buffault)', '75009 Paris', 'France']",Hotel,75009,9,31
Ibis Grands Boulevards - Opéra,4cb0bef8c5e6a1cdbe00d8f6,48.87445811639552,2.342095842269813,75009,Paris,"['38 rue du Faubourg Montmartre', '75009 Paris', 'France']",Hotel,75009,9,18
Ibis Sacré Cœur,4c22f17d11de20a1dcbd85ce,48.88259068741692,2.3415255546569824,75018,Paris,"['100 boulevard Rochechouard', '75018 Paris', 'France']",Hotel,75018,18,24
Hôtel Banke,4b96196ff964a520c0bc34e3,48.87367001228107,2.3361276090145107,75009,Paris,"['20 Rue La Fayette (Rue Pillet Will)', '75009 Paris', 'France']",Hotel,75009,9,68
Hotel Chateaudun Opera,4e3a955e88772c3bf12396b3,48.876129054139135,2.337011142953052,75009,Paris,"['30 rue de Chateaudun', '75009 Paris', 'France']",Hotel,75009,9,9
Hôtel R de Paris,52ff7974498e51150b48f594,48.87989302040136,2.3289925153450137,75009,Paris,"['41 rue de Clichy', '75009 Paris', 'France']",Hotel,75009,9,34
Hotel ibis Paris Opera La Fayette,4d4262b15605a090af1aca54,48.87601931870101,2.341921714936735,75009,Paris,"['19  rue Buffault', '75009 Paris', 'France']",Hotel,75009,9,21
Les Plumes Hotel,515d30807043fa18f5dccc7b,48.87658095709874,2.343333509653502,75009,Paris,"['10 rue Lamartine', '75009 Paris', 'France']",Hotel,75009,9,21
Hôtel R. Kipling,51584edfe4b0dadf8d186719,48.88213343301544,2.3317835952724755,75009,Paris,"['65 rue Blanche (Rue de Douai)', '75009 Paris', 'France']",Hotel,75009,9,23
Hotel France Albion,4bc2312174a9a59338edd2f6,48.87754270090091,2.3383647133218752,75009,Paris,"['11 rue Notre Dame de Lorette', '75009 Paris', 'France']",Hotel,75009,9,12
Hotel Mercure Paris Pigalle Sacre Coeur,56ce0054498ecd154ff9f203,48.882449088538166,2.336720329156716,75009,Paris,"['21 boulevard de Clichy', '75009 Paris', 'France']",Hotel,75009,9,6
